BMS-ID,AreaNum,OwnerCode,LocationID,,ID,X,Y,AMGX,AMGY,GrpNum,DetNum,Zone,ExitDist,RegionID,Suburb,EnableLogging,VersionNumber,Comment,ApplyThreshHold,ThreshHold,ArrivalLagTime,st1,st2,st3,typ,mnt,sub,lin,ind,con,dwg,cto,cmn,lmn,dmn,atf,ccd,pri,seq,link,vid_site,at,atd,volocc,at_st,at_fi,lcmVers,IntGrpNo,Approaches,Patching,Cost
18075,B8075,NULL,18698,#N/A,18698,153.08527,-27.4349699,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,Y,0,NULL,N,NULL,0,SOUTHERN CROSS WAY,FISON AVE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18076,B8076,NULL,18768,#N/A,18768,153.032293,-27.451165,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,Y,0,NULL,N,NULL,0,GREGORY STREET,KING STREET,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18078,B8078,NULL,18779,#N/A,18779,153.048538,-27.452627,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,Y,0,NULL,N,NULL,0,COMMERCIAL RD,SKYRING TCE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18079,B8079,NULL,18806,#N/A,18806,153.0641,-27.4178,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,Y,0,NULL,N,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18080,B8080,NULL,18777,#N/A,18777,153.0306,-27.4481,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,Y,0,NULL,N,NULL,0,O'Connell Tce PED,Nr Wren St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18083,B8083,NULL,18982,#N/A,18982,152.993539,-27.48848,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,Y,0,NULL,N,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18084,B8084,NULL,19036,#N/A,19036,153.0872149,-27.386928,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,Y,0,NULL,N,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18086,B8086,NULL,19078,#N/A,19078,153.054167,-27.342876,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,Y,0,NULL,N,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19001,B9001,B,828,#N/A,828,153.012477,-27.458555,501230,6962767,NULL,NULL,NULL,0,17,KELVINGR,Y,1249568143,BCC ICB Substation,N,NULL,0,KELVIN GROVE RD,ICB CONNECTOR,NULL,32,B,0,1,18/11/2001,99,,,Y,,N,,0000-00-00,,32,,N,,0000-00-00,Y,0:00:00,0:00:00,,0,0,,2
19002,B9002,B,936,#N/A,936,153.016625,-27.459711,501640,6962639,NULL,NULL,NULL,0,17,HERSTON,Y,1249568143,BCC ICB Substation,N,NULL,0,INNER CITY BYPASS,near VICTORIA PARK,BIKEWAY,32,B,0,2,18/11/2001,99,,,Y,,N,,0000-00-00,,32,,N,,0000-00-00,Y,0:00:00,0:00:00,,0,0,,2
19004,B9004,B,749,#N/A,749,153.025921,-27.451486,502558,6963550,NULL,NULL,NULL,0,17,HERSTON,Y,1249568143,BCC ICB Substation,N,NULL,0,INNER CITY BYPASS,near HERSTON RD OFF,RAMP,32,B,0,4,18/11/2001,99,,,Y,,N,,0000-00-00,,32,,N,,0000-00-00,Y,0:00:00,0:00:00,,0,0,,2
